Date,Johor,KL,Selangor
1/1/2021,125.2,124,125.7
2/1/2021,125.7,124.2,126
3/1/2021,126.2,124.7,126.5
4/1/2021,126.4,124.9,126.6
5/1/2021,126.3,124.9,126.7
6/1/2021,126.5,124.9,126.8
7/1/2021,125.7,124.3,126.2
8/1/2021,125.7,124.4,126.2
9/1/2021,126,124.5,126.4
10/1/2021,126.9,125,127.6
11/1/2021,127.3,125.4,128.1
12/1/2021,127.7,125.6,128.7
1/1/2022,128,126.2,129.3
2/1/2022,128.1,126.5,129.6
3/1/2022,128.7,126.9,130.1
4/1/2022,129,127.1,130.5
5/1/2022,130,127.9,131.4
6/1/2022,131.2,128.8,132.2
7/1/2022,131.6,129,132.8
8/1/2022,131.8,129.4,133.2
9/1/2022,131.9,129.5,133.4
10/1/2022,131.9,129.8,133.8
11/1/2022,132.6,130.2,134.2
12/1/2022,132.7,130.4,134.5
1/1/2023,132.9,130.4,134.7
2/1/2023,133.4,130.7,135.2
3/1/2023,133.4,130.7,135.3
4/1/2023,133.3,130.6,135.4
5/1/2023,133.5,131.2,135.7
6/1/2023,133.7,131.4,135.8
7/1/2023,133.8,131.4,136
8/1/2023,134.1,131.5,136.2
