Time,Johor,KL,Selangor
Jan-21,125.2,124,125.7
Feb-21,125.7,124.2,126
Mar-21,126.2,124.7,126.5
Apr-21,126.4,124.9,126.6
May-21,126.3,124.9,126.7
Jun-21,126.5,124.9,126.8
Jul-21,125.7,124.3,126.2
Aug-21,125.7,124.4,126.2
Sep-21,126,124.5,126.4
Oct-21,126.9,125,127.6
Nov-21,127.3,125.4,128.1
Dec-21,127.7,125.6,128.7
Jan-22,128,126.2,129.3
Feb-22,128.1,126.5,129.6
Mar-22,128.7,126.9,130.1
Apr-22,129,127.1,130.5
May-22,130,127.9,131.4
Jun-22,131.2,128.8,132.2
Jul-22,131.6,129,132.8
Aug-22,131.8,129.4,133.2
Sep-22,131.9,129.5,133.4
Oct-22,131.9,129.8,133.8
Nov-22,132.6,130.2,134.2
Dec-22,132.7,130.4,134.5
Jan-23,132.9,130.4,134.7
Feb-23,133.4,130.7,135.2
Mar-23,133.4,130.7,135.3
Apr-23,133.3,130.6,135.4
May-23,133.5,131.2,135.7
Jun-23,133.7,131.4,135.8
Jul-23,133.8,131.4,136
Aug-23,134.1,131.5,136.2
