date,PPI,CPI
1/1/2010,98.4,99.4
2/1/2010,98.4,99.4
3/1/2010,99.9,99.4
4/1/2010,99.8,99.4
5/1/2010,98.6,99.6
6/1/2010,99,99.7
7/1/2010,98.5,100
8/1/2010,99,100.3
9/1/2010,98.8,100.4
10/1/2010,100.9,100.6
11/1/2010,102.9,100.8
12/1/2010,105.9,101.2
1/1/2011,108.3,101.8
2/1/2011,109.4,102.3
3/1/2011,111.8,102.4
4/1/2011,113.2,102.6
5/1/2011,113.2,102.9
6/1/2011,113.5,103.2
7/1/2011,113.3,103.4
8/1/2011,113.5,103.6
9/1/2011,113.2,103.8
10/1/2011,112.9,104
11/1/2011,112.2,104.1
12/1/2011,113.4,104.2
1/1/2012,113.4,104.5
2/1/2012,114,104.5
3/1/2012,115.3,104.5
4/1/2012,115.8,104.5
5/1/2012,114.1,104.7
6/1/2012,111.5,104.8
7/1/2012,112.4,104.8
8/1/2012,112.8,105
9/1/2012,110.8,105.2
10/1/2012,108.5,105.4
11/1/2012,107,105.5
12/1/2012,106,105.5
1/1/2013,107.9,105.9
2/1/2013,109.6,106.1
3/1/2013,108.2,106.2
4/1/2013,107.3,106.3
5/1/2013,106.6,106.6
6/1/2013,107.6,106.7
7/1/2013,108.2,106.9
8/1/2013,108.8,107
9/1/2013,109.4,107.9
10/1/2013,109.4,108.3
11/1/2013,110.2,108.6
12/1/2013,112.2,108.9
1/1/2014,111.9,109.5
2/1/2014,113.4,109.8
3/1/2014,113.9,109.9
4/1/2014,113.1,109.9
5/1/2014,112.2,110
6/1/2014,111.4,110.2
7/1/2014,111,110.3
8/1/2014,109.6,110.5
9/1/2014,109.2,110.7
10/1/2014,107.8,111.3
11/1/2014,107.3,111.9
12/1/2014,104.5,111.8
1/1/2015,104.1,110.6
2/1/2015,104.6,109.9
3/1/2015,103.8,110.9
4/1/2015,103.1,111.9
5/1/2015,101.6,112.3
6/1/2015,101.2,113
7/1/2015,101.1,113.9
8/1/2015,100.3,113.9
9/1/2015,101.6,113.6
10/1/2015,102.6,114.1
11/1/2015,101.6,114.8
12/1/2015,100.9,114.8
1/1/2016,99.5,114.5
2/1/2016,99.6,114.5
3/1/2016,99.7,113.8
4/1/2016,100.2,114.3
5/1/2016,99.5,114.6
6/1/2016,99.9,114.8
7/1/2016,99,115.1
8/1/2016,100.2,115.6
9/1/2016,102,115.3
10/1/2016,102.7,115.7
11/1/2016,103.8,116.8
12/1/2016,107.5,116.8
1/1/2017,109.6,118.1
2/1/2017,110.4,119.6
3/1/2017,108.7,119.4
4/1/2017,107.7,119.2
5/1/2017,107.5,119
6/1/2017,106.3,118.7
7/1/2017,106,118.7
8/1/2017,106.9,119.8
9/1/2017,108.1,120.1
10/1/2017,107.5,120
11/1/2017,108.3,120.8
12/1/2017,107.8,120.9
1/1/2018,108.3,121.3
2/1/2018,106.7,121.3
3/1/2018,106.3,120.9
4/1/2018,106.8,120.9
5/1/2018,107.1,121.1
6/1/2018,106.4,119.6
7/1/2018,106.7,119.8
8/1/2018,106.6,120
9/1/2018,107.9,120.5
10/1/2018,108.2,120.7
11/1/2018,105.2,121
12/1/2018,103.8,121.1
1/1/2019,104.4,120.5
2/1/2019,105,120.8
3/1/2019,104.7,121.1
4/1/2019,105.3,121.1
5/1/2019,105.5,121.4
6/1/2019,104.5,121.4
7/1/2019,104.4,121.5
8/1/2019,104.6,121.8
9/1/2019,105.3,121.8
10/1/2019,105.1,122
11/1/2019,106.5,122.1
12/1/2019,107.4,122.3
1/1/2020,107.3,122.4
2/1/2020,105.9,122.4
3/1/2020,102.7,120.9
4/1/2020,99.9,117.6
5/1/2020,99.7,117.9
6/1/2020,100.3,119.1
7/1/2020,100.7,119.9
8/1/2020,101.7,120.1
9/1/2020,101.2,120.1
10/1/2020,101.3,120.2
11/1/2020,103.3,120
12/1/2020,105.1,120.6
1/1/2021,107.2,122.1
2/1/2021,108.8,122.5
3/1/2021,109.6,122.9
4/1/2021,110.5,123.1
5/1/2021,111.6,123.1
6/1/2021,111.8,123.2
7/1/2021,112.5,122.5
8/1/2021,113.2,122.5
9/1/2021,113.6,122.8
10/1/2021,114.7,123.7
11/1/2021,116.3,124
12/1/2021,115.6,124.5
1/1/2022,117.1,124.9
2/1/2022,119.4,125.2
3/1/2022,122.3,125.6
4/1/2022,122.6,125.9
5/1/2022,124.1,126.6
6/1/2022,124,127.4
7/1/2022,121.1,127.9
8/1/2022,120.9,128.2
9/1/2022,119.2,128.3
10/1/2022,119.3,128.6
11/1/2022,120,129
12/1/2022,119.6,129.2
1/1/2023,118.6,129.5
2/1/2023,118.4,129.8
